Unnamed: 0,ID,KML_ha,REDD,fid,polygon_ID,polygon_ha,year,def,defc,soil,pa,mine,conces,mm_ID,buf1k_def,buf1k_defc,buf10k_def,buf10k_defc,tree,access,dem,slope,fric,mm
4210,1748,458040,0,1748,867,473446.34,2001,164.78,164.78,1.933,0.463,0.154,0.278,867 2001,42,42,418,418,0.29,356.4679,128.0,0.9324,0.0124,2421
6701,1748,458040,0,1748,867,473446.34,2002,509.29,674.07,1.933,0.463,0.154,0.278,867 2002,39,80,465,883,0.29,356.4679,128.0,0.9324,0.0124,2404
9192,1748,458040,0,1748,867,473446.34,2003,52.82,726.89,1.933,0.463,0.154,0.278,867 2003,8,89,183,1066,0.29,356.4679,128.0,0.9324,0.0124,2021
11683,1748,458040,0,1748,867,473446.34,2004,168.37,895.26,1.933,0.463,0.154,0.278,867 2004,36,125,635,1701,0.29,356.4679,128.0,0.9324,0.0124,2044
14174,1748,458040,0,1748,867,473446.34,2005,215.68,1110.94,1.933,0.463,0.154,0.278,867 2005,44,169,401,2102,0.29,356.4679,128.0,0.9324,0.0124,2093
16665,1748,458040,0,1748,867,473446.34,2006,271.54,1382.48,1.933,0.463,0.154,0.278,867 2006,37,206,802,2904,0.29,356.4679,128.0,0.9324,0.0124,2492
19156,1748,458040,0,1748,867,473446.34,2007,262.17,1644.65,1.933,0.463,0.154,0.278,867 2007,57,262,998,3902,0.29,356.4679,128.0,0.9324,0.0124,2466
21647,1748,458040,0,1748,867,473446.34,2008,99.99,1744.64,1.933,0.463,0.154,0.278,867 2008,42,304,1062,4965,0.29,356.4679,128.0,0.9324,0.0124,1913
24138,1748,458040,0,1748,867,473446.34,2009,210.1,1954.74,1.933,0.463,0.154,0.278,867 2009,75,379,1711,6676,0.29,356.4679,128.0,0.9324,0.0124,2260
26629,1748,458040,0,1748,867,473446.34,2010,592.58,2547.32,1.933,0.463,0.154,0.278,867 2010,180,559,2228,8904,0.29,356.4679,128.0,0.9324,0.0124,1807
29120,1748,458040,0,1748,867,473446.34,2011,1056.84,3604.16,1.933,0.463,0.154,0.278,867 2011,127,685,2564,11468,0.29,356.4679,128.0,0.9324,0.0124,2586
31611,1748,458040,0,1748,867,473446.34,2012,9466.0,13070.16,1.933,0.463,0.154,0.278,867 2012,273,958,3315,14783,0.29,356.4679,128.0,0.9324,0.0124,2094
34102,1748,458040,0,1748,867,473446.34,2013,13355.27,26425.43,1.933,0.463,0.154,0.278,867 2013,330,1288,3437,18220,0.29,356.4679,128.0,0.9324,0.0124,2106
36593,1748,458040,0,1748,867,473446.34,2014,12788.87,39214.29,1.933,0.463,0.154,0.278,867 2014,527,1815,4328,22548,0.29,356.4679,128.0,0.9324,0.0124,2153
39084,1748,458040,0,1748,867,473446.34,2015,8837.04,48051.33,1.933,0.463,0.154,0.278,867 2015,294,2109,4460,27008,0.29,356.4679,128.0,0.9324,0.0124,1591
41575,1748,458040,0,1748,867,473446.34,2016,2858.13,50909.46,1.933,0.463,0.154,0.278,867 2016,425,2534,5908,32916,0.29,356.4679,128.0,0.9324,0.0124,1936
44066,1748,458040,0,1748,867,473446.34,2017,4402.93,55312.39,1.933,0.463,0.154,0.278,867 2017,700,3234,6600,39516,0.29,356.4679,128.0,0.9324,0.0124,2039
46557,1748,458040,0,1748,867,473446.34,2018,4195.49,59507.88,1.933,0.463,0.154,0.278,867 2018,341,3576,5684,45200,0.29,356.4679,128.0,0.9324,0.0124,2054
49048,1748,458040,0,1748,867,473446.34,2019,2702.36,62210.24,1.933,0.463,0.154,0.278,867 2019,271,3847,5370,50571,0.29,356.4679,128.0,0.9324,0.0124,1910
51539,1748,458040,0,1748,867,473446.34,2020,1274.98,63485.23,1.933,0.463,0.154,0.278,867 2020,136,3983,3169,53740,0.29,356.4679,128.0,0.9324,0.0124,1841
4211,1748,458040,0,1748,868,467498.88,2001,368.05,368.05,2.0,0.464,0.097,0.025,868 2001,36,36,147,147,0.59,177.532,211.4604,2.1202,0.0141,1878
6702,1748,458040,0,1748,868,467498.88,2002,264.1,632.15,2.0,0.464,0.097,0.025,868 2002,3,39,180,327,0.59,177.532,211.4604,2.1202,0.0141,1797
9193,1748,458040,0,1748,868,467498.88,2003,3074.56,3706.71,2.0,0.464,0.097,0.025,868 2003,139,178,1343,1670,0.59,177.532,211.4604,2.1202,0.0141,1850
11684,1748,458040,0,1748,868,467498.88,2004,2745.48,6452.19,2.0,0.464,0.097,0.025,868 2004,132,310,1081,2751,0.59,177.532,211.4604,2.1202,0.0141,1705
14175,1748,458040,0,1748,868,467498.88,2005,2095.82,8548.0,2.0,0.464,0.097,0.025,868 2005,67,377,1116,3867,0.59,177.532,211.4604,2.1202,0.0141,1731
16666,1748,458040,0,1748,868,467498.88,2006,1854.84,10402.85,2.0,0.464,0.097,0.025,868 2006,76,453,812,4679,0.59,177.532,211.4604,2.1202,0.0141,2047
19157,1748,458040,0,1748,868,467498.88,2007,920.12,11322.97,2.0,0.464,0.097,0.025,868 2007,85,538,1027,5706,0.59,177.532,211.4604,2.1202,0.0141,2589
21648,1748,458040,0,1748,868,467498.88,2008,3943.28,15266.25,2.0,0.464,0.097,0.025,868 2008,219,757,2015,7721,0.59,177.532,211.4604,2.1202,0.0141,1837
24139,1748,458040,0,1748,868,467498.88,2009,5493.1,20759.35,2.0,0.464,0.097,0.025,868 2009,153,910,2329,10050,0.59,177.532,211.4604,2.1202,0.0141,1929
26630,1748,458040,0,1748,868,467498.88,2010,13474.96,34234.31,2.0,0.464,0.097,0.025,868 2010,586,1496,3400,13449,0.59,177.532,211.4604,2.1202,0.0141,1948
29121,1748,458040,0,1748,868,467498.88,2011,7773.04,42007.35,2.0,0.464,0.097,0.025,868 2011,202,1698,2936,16385,0.59,177.532,211.4604,2.1202,0.0141,2288
31612,1748,458040,0,1748,868,467498.88,2012,17363.37,59370.72,2.0,0.464,0.097,0.025,868 2012,567,2265,4760,21146,0.59,177.532,211.4604,2.1202,0.0141,1934
34103,1748,458040,0,1748,868,467498.88,2013,3919.92,63290.64,2.0,0.464,0.097,0.025,868 2013,107,2372,1163,22309,0.59,177.532,211.4604,2.1202,0.0141,2228
